"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","uniprot","genename"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982976,-40.3775625252681,0,0,"CNN3","1266","Q15417","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195534795427,0.0724172014757565,44.2153974843422,0,0,"TENT5C","54855","Q5VWP2","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31373756503587,0.0575533663106344,-40.2016026751219,0,0,"CSRP1","1465","B4DY28","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05963137024162,0.0538449075112187,-38.2511822462039,0,0,"CRIM1","51232","Q9NZV1","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.8880193725334,0.0431679917758964,-43.7365579185365,0,0,"EPAS1","2034","B3KW07","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64979200672636,0.0439354370533359,-37.5503720316605,0,0,"FLNB","2317","O75369","filamin B"
"ENSG00000164251",2348.7701339719,3.34450833213609,0.0690717572655247,48.4207795565296,0,0,"F2RL1","2150","P55085","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228794576996,0.0617086151812928,38.7674871448937,0,0,"SOX4","6659","Q06945","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83225777686374,0.0388966414279846,47.1058093860388,0,0,"CDKN1A","1026","A0A024RCX5","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404649934342,0.0419164996609003,-43.9933323216763,0,0,"SERPINE1","5054","A0A024QYT5","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608046261254,0.0552681287921597,41.0015774395822,0,0,"COL4A5","1287","A7MBN3","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252546550258,0.0552183311595106,40.9741732137243,0,0,"PLAU","5328","P00749","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605832567065,0.0757850351652615,-42.1726838115352,0,0,"MKI67","4288","P46013","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976295761976,0.0543254349135864,38.2834110933114,0,0,"SLC2A3","6515","P11169","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841810360099,0.0505768630461182,-38.3261828997471,0,0,"TUBA1B","10376","P68363","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03736205042695,0.0462973434178511,44.0060249686247,0,0,"PHLDA1","22822","Q8WV24","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054949491349,0.0435953844406011,44.7421102013935,0,0,"ABCC4","10257","A8K2Q2","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372169452888,0.0653981298931867,38.5901202167526,0,0,"DIO2","1734","A8K845","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85825311457409,0.0865185432075092,44.5945224172385,0,0,"DLL4","54567","Q9NR61","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668774845908,0.0581377318678264,-41.3963130507152,0,0,"SEMA7A","8482","B3KMH6","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418912756521,0.0696221034544638,-42.0008730342048,0,0,"TOP2A","7153","P11388","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234576630771,0.0404435485638617,-52.9712609892496,0,0,"AXL","558","M0R0W6","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53453041313559,0.0670975518001016,37.7738135764851,0,0,"SLC5A3","6526",NA,"solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.33893117834408,0.0358590275895863,-37.3387475440888,3.86082290871196e-305,2.37086700119154e-302,"ENO1","2023","P06733","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815955567935,0.0447581299294294,37.2705374042561,4.92673245721243e-304,2.90440731817587e-301,"F2R","2149","P25116","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533073536896,0.0488625142075212,36.9471519148942,8.09231108317835e-299,4.58709541322625e-296,"RND3","390","B2R838","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763709005456,0.055046085524664,36.8352639561637,5.03520683668523e-297,2.74847697626174e-294,"PLAT","5327","P00750","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493702368437,0.0693613893225764,36.6909753183969,1.01726618398183e-294,5.35445322125867e-292,"DGKI","9162","O75912","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.0589063480898295,-36.4661327225839,3.81873143598177e-291,1.9407056518448e-288,"MGLL","11343","Q99685","monoglyceride lipase"
"ENSG00000104081",804.838487338129,4.43413656938238,0.121636384406064,36.4540313413107,5.9385621795615e-291,2.91741764674591e-288,"BMF","90427","Q96LC9","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.2066708419761,0.0608219606307479,-36.2808238848608,3.24649821994183e-288,1.54344808920976e-285,"GPR176","11245","Q14439","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.51723600339355,0.0694013569941963,36.2707029432299,4.68797353251508e-288,2.15910481006898e-285,"PGM2L1","283209","Q6PCE3","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.15907315816,-1.81023338577256,0.0499749029758621,-36.222849429981,2.65984835122044e-287,1.18790439394808e-284,"CDV3","55573","Q9UKY7","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501315031032,0.0535351847027464,36.144699248811,4.50689778524758e-286,1.95360763408761e-283,"SLC4A7","9497","Q9Y6M7","solute carrier family 4 member 7"
"ENSG00000117724",1324.17284690485,-2.82511200625218,0.0781715114729323,-36.139917893623,5.3577835331385e-286,2.21230320957083e-283,"CENPF","1063","P49454","centromere protein F"
"ENSG00000101825",1024.97040543336,3.28766304153759,0.0909710037522531,36.1396808426022,5.4039161042577e-286,2.21230320957083e-283,"MXRA5","25878","Q9NR99","matrix remodeling associated 5"
"ENSG00000198959",5110.85796803933,-1.74624587694994,0.0487932042517433,-35.7887108200637,1.65485249273065e-280,6.59168001023358e-278,"TGM2","7052","P21980","transglutaminase 2"
"ENSG00000164938",1395.92210584831,2.31778202055933,0.0656155292094681,35.3236809713161,2.54305707416959e-273,9.86304609450302e-271,"TP53INP1","94241","Q96A56","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021858,-2.30515285902941,0.0653960004274887,-35.2491412924459,3.53646850280632e-272,1.33642237934255e-269,"FERMT2","10979","Q96AC1","FERM domain containing kindlin 2"
"ENSG00000143799",1043.84682510942,-2.61747584698133,0.074374782389663,-35.1930555341715,2.55367981637138e-271,9.40903328342034e-269,"PARP1","142","A0A024R3T8","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.8374350677056,0.0806594353569988,35.1779683944861,4.3440722585592e-271,1.56153504747916e-268,"MME","4311","P08473","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907473642135,0.126316442695775,35.1424932628333,1.51368681107636e-270,5.31159910039129e-268,"VWA5A","4013","A0A024R3H3","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204014087112,0.0861136723498937,-34.9774903180615,4.9484710986291e-268,1.69605969887432e-265,"TPX2","22974","Q643R0","TPX2 microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401849883444,0.0690680721887584,-34.9512940253652,1.23760619414889e-267,4.14541820212871e-265,"RTN3","10313","O95197","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786042990079,0.0676832762470117,34.836676955408,6.77554401242539e-266,2.21906594789168e-263,"PIEZO2","63895","Q9H5I5","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283927593519,0.0497514630841844,34.8299159163028,8.57647267082442e-266,2.74782726570892e-263,"SVIL","6840","O95425","supervillin"
"ENSG00000182752",6930.41939676306,2.01487019569894,0.0588365433182888,34.2452170379736,5.13836406734322e-257,1.61125977924478e-254,"PAPPA","5069","B4DTA8","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652098959839,0.0928701287754423,-34.2039042206902,2.11545038722663e-256,6.4953141264471e-254,"PRC1","9055","O43663","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.92971757635609,0.0569242455807029,-33.8997479311392,6.7188789304079e-252,2.02087423829289e-249,"MARCKS","4082","P29966","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.40989019840233,0.0418063486005004,33.7243085224968,2.54545118052767e-249,7.50297189972337e-247,"COL3A1","1281","P02461","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.05910888555034,0.0611321276797726,33.6829252261026,1.02810293781297e-248,2.97101590146815e-246,"TNFRSF21","27242","A0A024RD71","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.54674961547204,0.0460243819592273,33.6071784047484,1.31769411193491e-247,3.73464919648013e-245,"PLK2","10769","A0A087WUH9","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.89361784327075,0.0564684070240063,-33.5341112503088,1.53477285969077e-246,4.26782686907972e-244,"MBTPS1","8720","Q14703","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.7035465919333,0.0509601087578469,-33.4290219047263,5.19390786172982e-245,1.41755211233656e-242,"PLS3","5358","P13797","plastin 3"
"ENSG00000135046",4581.91768778281,-1.4640159114495,0.0439329001157989,-33.3239077682244,1.73984876209024e-243,4.66216201012472e-241,"ANXA1","301","P04083","annexin A1"
"ENSG00000081923",1549.06690179341,-2.52988619989441,0.0760092139505324,-33.283941096153,6.59322840062997e-243,1.73519643158008e-240,"ATP8B1","5205","O43520","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.79069939981,1.81056662201436,0.0547035645119074,33.0977814365324,3.19851269731663e-240,8.27011932158815e-238,"PBXIP1","57326","Q96AQ6","PBX homeobox interacting protein 1"
